Size	P1	P2	P3	P4
1000	173783.77	142728.5	341777.84	214584.77
2000	220042.9	227120.98	513059.62	453347.16
3000	413509.16	292472.84	569319.75	449931.75
4000	272806.56	225688.8	391811.38	185502.2
5000	242814.8	143041.8	174170.8	127080.43
6000	299041.12	165359.06	185841.2	150153.36
7000	340029.38	193931.16	189742.56	171350.0
8000	385849.7	214360.92	208696.88	193358.19
9000	445633.12	243349.3	237849.2	216901.19
10000	493705.03	259390.95	248751.64	236932.08
11000	571408.56	312372.4	272792.97	250273.66
12000	628163.8	311750.12	281149.3	269138.0
13000	698276.25	339875.12	308985.03	285932.53
14000	766844.25	368869.4	321089.06	302616.25
15000	825766.9	390504.6	340507.9	320771.03
16000	899324.25	417181.38	356708.03	336874.38
17000	941090.0	437616.84	387386.4	354661.75
18000	1041204.9	471027.9	389018.0	363391.12
19000	1102701.5	513051.1	422678.44	410045.62
20000	1229182.8	547725.94	446031.62	427477.53
21000	1292478.6	575329.06	458751.38	442184.53
22000	1382575.5	607374.94	484888.62	465157.7
23000	1492192.8	642298.75	512021.44	489457.8
24000	1616912.5	679515.75	531250.56	522016.8
25000	1671056.6	698605.6	545822.06	528376.4
26000	1777454.2	726624.3	555542.75	546450.6
27000	1939780.8	790728.94	598325.7	591835.2
28000	2095865.1	825664.25	614140.7	583209.25
29000	2106501.8	830252.9	610414.06	608103.94
30000	2230794.0	868571.5	637705.4	612383.75
31000	2326120.8	894909.1	642875.94	633687.1
32000	2488016.2	942777.2	664762.6	654927.25
33000	2583295.2	980639.5	686444.0	673864.0
34000	2713511.0	1008255.44	706839.7	688997.44
35000	2861779.8	1048917.0	723139.4	714126.4
36000	2970190.8	1075223.9	731618.25	712694.25
37000	3092578.2	1116707.5	767185.1	731904.25
38000	3226899.2	1152111.2	770554.06	771725.75
39000	3400670.8	1205483.2	798298.3	789691.44
40000	3516328.8	1232690.5	807509.2	789778.2
41000	3647778.2	1262172.5	836691.94	807073.5
42000	3813287.2	1313252.0	843684.5	831864.0
43000	3988500.5	1394978.5	902232.75	888539.25
44000	4095193.5	1417771.4	907135.2	879368.25
45000	4211680.0	1439800.6	913022.56	912310.6
46000	4434262.5	1511127.6	960454.6	925533.94
47000	4584408.0	1558010.1	983872.94	952125.5
48000	4733769.0	1575618.4	993861.8	947111.75
49000	4897786.0	1633787.0	987568.3	974193.1
50000	5167593.5	1695238.5	1005714.4	981760.2
